,I,I,I,I,I,II,II,II,II,II,IV,IV,IV,IV,IV,V,V,V,V,V,VIII,VIII,VIII,VIII,VIII,X,X,X,X,X,XI,XI,XI,XI,XI,XIII,XIII,XIII,XIII,XIII,XV,XV,XV,XV,XV,XVIII,XVIII,XVIII,XVIII,XVIII,XXI,XXI,XXI,XXI,XXI,XXII,XXII,XXII,XXII,XXII
,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co
2019-12-28,17,12,14,4,6,17,20,9, ,5,23,19,12, ,8,,,,,,16,15,19,2,6,22,18,14, ,7,8,16,9, ,3,19, ,12, ,4,23,15,16,1,9,21,13,14,1,6,20,4,4,7,5,14,16,8, ,4
2019-12-27,10,12,6,4,5,6,20,3, ,3,6,20,2,1,5,7,15,4,1,3,6,15,8,1,4,7,17,6, ,4,5,16,7,1,3,7,15,4,1,3,8,18,5,1,2,9,14,6,1,4,5,10,1,6,2,5,17,3,6,2
2019-12-26,13,12,9,4,5,6,21,4,1,3,9,20,5,2,5,9,16,7,1,3,9,16,12,1,4,10,18,9, ,4,6,18,9,1,3,9,16,5,1,3,11,18,8,1,3,12,15,10,1,4,5,11,1,6,4,8,16,5,6,1
2019-12-25,10,14,6,3,5,6,21,3,1,2,5,22,3,2,4,6,19,5,1,3,6,19,7,1,4,6,20,6, ,4,4,19,7,1,3,6,19,3,1,2,6,20,4,1,2,9,16,6,1,3,4,12,1,6,3,4,18,3,6,1
2019-12-24,10,14,7,3,5,8,21,3,1,2,10,20,6,2,4,9,17,7,1,3,8,17,11,1,4,8,19,9, ,4,6,16,11,1,3,9,17,6,1,3,9,19,7,1,3,13,14,9,1,4,9,9,1,6,5,7,17,5,6,1
2019-12-23,10,16,7,3,4,7,23,4,1,3,8,24,4,2,4,7,22,6,1,3,7,22,7,1,4,6,24,6, ,3,6,21,9,1,3,7,22,5,1,2,7,24,6,1,2,8,19,6,1,3,6,15,1,6,3,8,20,5,6,1
2019-12-22,7,16,6,3,5,5,24,3,2,2,4,21,3,2,4,4,20,6,1,2,4,19,8,1,4,4,20,6, ,4,3,20,6,1,3,4,19,5,1,2,4,20,6,2,3,7,17,6,1,3,3,12,1,5,3,3,19,5,5, 
2019-12-21,13,11,15,3,5,7,21,6,3,3,14,16,10,3,5,9,15,15,1,5,9,15,15, ,5,9,16,11, ,4,7,13,15,1,4,8,15,14,1,3,10,15,13,2,5,11,12,9,1,4,7,6,2,5,5,7,10,13,5,2
2019-12-20,41,3,23,4,7,24,20,10,3,3,31,11,13,2,6,26,10,20,1,5,30,9,18,1,7,22,17,10,2,4,22,5,22,1,6,25,10,18,1,4,24,13,10,2,4,25,16,6,2,4,20,6,1,6,6,19,10,12,6,2
2019-12-19,56,2,25,5,10,39,13,13,2,6,45,5,15,2,8,51,5,20,4,8,38,6,21,2,9,39,10,14,1,7,35,4,23,5,8,48,5,19,4,7,44,7,15,2,12,45,11,11,2,6,30,5,2,6,8,33,5,17,6,4
2019-12-18,50,1,19,4,9,35,3,13,1,7,50,3,12,1,8,41,2,18,2,7,43,1,18,1,9,45,1,17,1,8,32,2,19,2,7,47,2,16,2,6,51,1,15,1,12,48,3,15,2,7,38,2,3,6,10,36, ,18,6,5
2019-12-17,35,11,29,4,8,14,23,11,1,3,30,14,20,2,7,27,14,25,2,5,28,14,24,1,8,19,19,19,1,5,23,15,26,2,8,27,14,25,2,5,22,15,18,2,6,23,17,11,2,4,19,3,3,5,7,15,14,18,5,2
2019-12-16,46,6,28,5,10,24,22,11,1,4,33,13,16,2,8,27,6,24,5,8,35,12,21,2,10,25,19,16,2,5,25,13,24,5,9,31,6,25,5,5,34,15,16,2,11,27,20,7,3,4,23,7,2,6,9,20,14,15,6,2
2019-12-15,46,1,19,4,9,42,2,14,1,10,34,4,11,1,7,43,1,18,4,9,39,2,18,2,10,41,2,17, ,8,30,1,20,4,7,41,1,14,4,7,41,2,13,1,11,44,4,15,2,9,31,2,3,5,10,34, ,20,5,7
2019-12-14,31,5,26,4,9,18,17,12,1,6,29,9,19,2,7,25,11,17,5,6,23,10,22,1,8,24,11,18,2,6,20,10,21,2,6,26,10,21,2,7,26,11,16,2,8,26,12,11,3,5,22,6,3,5,8,19,11,14,6,3
2019-12-13,36,4,16,5,6,29,6,11,2,4,33,8,9,3,5,19,7,11, ,2,28,5,14,2,6,28,6,12,2,5,18,6,14,2,3,24,5,15,2,5,28,7,9,3,5,46,4,11,3,4,23,2,2,5,6,19,7,11, ,2
2019-12-12,31,2,19,5,7,21,7,10,3,5,36,5,15,4,6,26,3,14,5,4,23,4,19,2,8,31,6,14,3,6,24,4,17,2,4,30,4,17,2,6,31,6,13,4,8,30,7,11,4,5,26,2,2,10,7,26,3,14,5,4
2019-12-11,38,2,22,4,9,27,7,14,1,5,32,4,16,2,6,24,2,18,5,3,34,2,21,1,7,29,6,15,6,6,18,2,20,1,4,33,2,19,1,6,33,3,16,2,10,37,3,14,1,7,21,2,3,5,3,24,2,18,5,3
2019-12-10,34,10,28,4,8,19,19,16,1,6,33,12,24,2,7,22,14,21,5,4,27,13,31,2,8,28,13,26,9,9,22,13,26,2,5,30,13,24,2,6,33,8,25,2,13,33,13,24,2,9,25,6,6,5,6,22,14,21,5,4
2019-12-09,31,15,12,4,7,21,21,6,1,3,16,22,8,2,4,14,17,12,4,2,20,14,15,1,6,17,18,14,9,7,12,16,12,1,3,19,14,11,1,5,19,19,11,2,9,29,16,13,1,7,13,11,2,4,3,14,17,12,4,2
2019-12-08,42,5,17,4,10,25,7,12,1,6,43,8,12,2,7,31,10,15,4,5,30,7,17,1,9,36,9,15,9,10,27,7,16,1,6,39,7,15,1,7,40,10,12,2,14,43,9,12,1,10,29,2,3,4,6,31,10,15,4,5
2019-12-07,33,5,20,4,10,18,16,11,1,4,37,7,15,2,7,26,12,10,4,4,22,8,15,1,7,31,11,12,12,8,19,8,13,1,4,31,8,16,1,6,34,9,13,2,12,39,11,8,1,8,22,2,2,4,3,26,12,10,4,4
2019-12-06,43,5,20,4,9,26,8,13,1,6,40,7,15,2,7,34,12,11,4,5,27,7,16,1,6,34,11,14,13,7,24,8,13,1,3,28,7,17,1,5,29,8,13,2,11,45,10,10,2,7,28,2,2,4,1,34,12,11,4,5
2019-12-05,48,8,19,4,7,31,15,12,1,4,38,12,15,2,4,29,14,13, ,3,26,10,18,1,5,29,13,15,13,6,24,11,15,1,2,29,10,16,1,4,28,14,12,2,8,43,13,8,2,6,26,3,3,4,1,29,14,13, ,3
2019-12-04,40,9,21,4,6,30,16,13, ,3,36,15,13,2,4,27,17,11, ,3,23,12,19, ,5,28,16,13,12,6,23,11,19, ,2,29,12,15, ,4,27,17,11,2,7,42,16,8,1,6,22,2,3,3,1,27,17,11, ,3
2019-12-03,37,4,25,4,7,25,9,20, ,4,34,7,18,1,7,27,11,16, ,4,24,6,23,1,6,27,10,18,12,6,20,7,21,1,3,29,6,20,1,5,29,10,16,1,9,40,10,14,1,7,22,3,3,2,2,27,11,16, ,4
2019-12-02,20,14,19,4,6,19,20,10, ,3,25,20,14,2,9,18,19,16, ,3,12,18,20, ,4,20,19,19,12,5,11,17,18, ,2,20,18,16, ,4,24,18,16,2,9,26,16,18,1,7,16,6,3,3,4,18,19,16, ,3
2019-12-01,23,12,16,3,5,13,20,8,1,3,20,19,11,2,7,19,18,13, ,3,12,16,17, ,4,21,18,15,12,6,12,13,17, ,2,21,16,13, ,4,21,19,14,2,7,24,15,14,2,6,14,9,3,3,1,19,18,13, ,3
2019-11-30,21,10,24,3,6,16,18,13, ,3,29,17,18,2,10,16,18,14, ,3,21,15,24, ,5,24,17,21,12,7,15,13,21, ,2,22,15,20, ,4,24,20,16,2,9,33,19,15,2,7,18,7,3,2,3,16,18,14, ,3
2019-11-29,19,20,11,3,4,11,27,6,1,2,10,26,5,2,6,6,26,5, , ,11,24,12, ,3,8,26,12,12,5,7,20,12, ,1,8,24,8, ,2,9,25,8,2,5,17,22,10,1,5,11,16,1,2,1,6,26,5, , 
2019-11-28,29,6,25,3,8,12,19,12,1,4,26,9,19,3,12,18,10,16, ,4,23,7,23,1,8,24,7,20,12,9,14,7,19,1,4,22,7,23,1,8,24,6,19,3,14,28,8,16,1,9,22,1,3,2,5,18,10,16, ,4
2019-11-27,38,1,22,3,8,21,9,14,1,5,38,2,15,3,10,25,5,16, ,3,30,3,20, ,8,25,6,17,12,8,25,1,19, ,5,27,3,19, ,7,27,4,15,3,12,34,9,12,2,9,30,2,3,2,5,25,5,16, ,3
2019-11-26,51,3,22,4,7,36,10,14,2,4,46,7,16,3,9,32,8,14, ,2,34,4,20, ,6,36,6,18,12,7,29,4,17, ,3,38,4,18, ,5,37,10,12,3,9,40,8,10,2,7,33,2,2,2,4,32,8,14, ,2
2019-11-25,47, ,27,4,9,34,3,16,3,6,54,1,21,3,13,36,1,25, ,6,52,1,32,2,11,47,1,26,11,11,35,1,28,2,6,50,1,26,2,9,53, ,20,3,20,52,1,26,2,13,47,2,5,2,10,36,1,25, ,6
